Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role,AuctionPrice,AcquisitionType
Sediqullah Atal (DC),DC,23,India,22,22,137.5,0,0,0,0,0,Batsman,N/A,Unsold
Shahbaz Ahmed (LSG),LSG,30,India,9,9,112.5,0,0,0,0,0,Batsman,2.4,Retained
Shashank Singh (PBKS),PBKS,33,India,350,50,153.5,0,3,0,0,0,Batsman,5.5,Retained
Shubman Gill (GT),GT,25,India,650,50,155.87,0,6,0,0,0,Batsman,16.5,Retained
Simarjeet Singh (SRH),SRH,27,New Zealand,3,1.5,42.85,0,0,2,70.5,14.1,Bowler,5.5,Retained
Suryansh Shedge (PBKS),PBKS,22,India,7,2.33,63.63,0,0,0,0,0,Batsman,0.3,Retained
Suyash Sharma (RCB),RCB,21,India,0,0,0,0,0,8,55.25,8.84,Bowler,2.6,Retained
T Stubbs (DC),DC,24,South Africa,300,50,150.75,0,0,0,0,0,Batsman,1N/A,Retained
TA Boult (MI),MI,35,India,2,2,66.66,0,0,22,23.5,8.96,Bowler,12.5,Retained
TH David (RCB),RCB,29,India,187,62.33,185.14,0,1,0,0,0,Batsman,3.0,Retained
TM Head (SRH),SRH,31,Australia,374,31.16,162.6,0,3,0,0,0,Batsman,14.0,Retained
TU Deshpande (RR),RR,29,Australia,7,7,87.5,0,0,9,37.77,10.62,Bowler,6.5,Retained
UM Patel (CSK),CSK,26,Afghanistan,68,22.66,212.5,0,0,0,0,0,Batsman,0.3,Retained
V Kohli (RCB),RCB,36,India,657,54.75,144.71,0,8,0,0,0,Batsman,21.0,Retained
V Nigam (DC),DC,20,India,142,20.28,179.74,0,0,11,32.36,9.12,All-Rounder,0.5,Retained
V Puthur (MI),MI,24,India,0,0,0,0,0,6,18.16,9.08,Bowler,0.3,Bought
V Shankar (CSK),CSK,34,India,118,39.33,129.67,0,1,0,0,0,Batsman,N/A,Unsold
V Sooryavanshi (RR),RR,14,India,252,36,206.55,1,1,0,0,0,Batsman,1.1,Retained
V Vyshak (PBKS),PBKS,28,India,0,0,0,0,0,4,45.25,10.64,Bowler,1.8,Retained
VG Arora (KKR),KKR,27,India,0,0,0,0,0,17,25.29,10.11,Bowler,1.8,Retained
VR Iyer (KKR),KKR,30,India,142,20.28,139.21,0,1,0,0,0,Batsman,7.0,Bought
W O'Rourke (LSG),LSG,23,New Zealand,0,0,0,0,0,6,22,12.77,Bowler,N/A,Unsold
WG Jacks (MI),MI,26,England,233,23.3,135.46,0,1,6,20,8.57,All-Rounder,5.2,Retained
Washington Sundar (GT),GT,25,India,133,26.6,166.25,0,0,2,55.5,10.24,Batsman,3.2,Retained
XC Bartlett (PBKS),PBKS,26,South Africa,11,11,73.33,0,0,2,48,9.6,Bowler,0.8,Retained
YBK Jaiswal (RR),RR,23,India,559,43,159.71,0,6,0,0,0,Batsman,18.0,Retained
YS Chahal (PBKS),PBKS,34,India,0,0,0,0,0,16,26.87,9.55,Bowler,18.0,Retained
Yash Dayal (RCB),RCB,27,India,4,2,50,0,0,13,36.15,9.59,Bowler,5.0,Retained
Yudhvir Singh (RR),RR,27,India,0,0,0,0,0,4,32.75,11.9,Bowler,0.3,Retained
Zeeshan Ansari (SRH),SRH,25,India,0,0,0,0,0,6,55.5,9.84,Bowler,0.4,Retained
