Player,Role,PlayerValueScore,AuctionPrice,AcquisitionType
MP Yadav (LSG),Bowler,32.3,11.0,Retained
BKG Mendis (GT),Batsman,32.1,0.8,Retained
MA Agarwal (RCB),Batsman,31.7,N/A,Unsold
DA Miller (LSG),Wicketkeeper,31.0,2.0,Bought
VR Iyer (KKR),Batsman,30.1,7.0,Bought
Q de Kock (KKR),Wicketkeeper,29.7,1.0,Bought
Rasikh Salam (RCB),Bowler,29.3,6.0,Retained
SM Curran (CSK),Batsman,29.0,2.4,Retained
Akash Deep (LSG),Bowler,28.7,1.0,Bought
K Nitish Kumar Reddy (SRH),Batsman,28.4,6.0,Retained
R Tewatia (GT),Batsman,28.4,4.0,Retained
K Rabada (GT),Bowler,28.2,10.8,Retained
Mukesh Choudhary (CSK),Bowler,28.1,0.3,Retained
J Overton (CSK),Batsman,27.3,1.5,Retained
LS Livingstone (RCB),Batsman,26.2,13.0,Bought
Rahmanullah Gurbaz (KKR),Wicketkeeper,24.7,N/A,Unsold
RA Bawa (MI),Batsman,24.6,0.3,Retained
Sediqullah Atal (DC),Batsman,22.9,N/A,Unsold
MM Sharma (DC),Bowler,21.3,3.8,Retained
A Taide (SRH),Batsman,20.5,N/A,Unsold
Ramandeep Singh (KKR),Batsman,19.4,13.0,Retained
SK Rasheed (CSK),Batsman,18.8,N/A,N/A
Simarjeet Singh (SRH),Bowler,18.2,5.5,Retained
MP Breetzke (LSG),Batsman,16.4,0.8,Retained
A Manohar (SRH),Batsman,15.6,N/A,Unsold
J Fraser-McGurk (DC),Batsman,15.1,N/A,Unsold
RA Tripathi (CSK),Batsman,14.3,0.8,Bought
Shahbaz Ahmed (LSG),Batsman,13.8,2.4,Retained
SH Johnson (KKR),Bowler,10.9,N/A,Replacement
R Powell (KKR),Batsman,10.2,1.5,Retained
PWA Mulder (SRH),Batsman,8.9,N/A,Unsold
Fazalhaq Farooqi (RR),Batsman,8.4,N/A,Unsold
DJ Hooda (CSK),Batsman,8.1,N/A,Unsold
M Tiwari (DC),Batsman,5.4,0.4,Retained
Suryansh Shedge (PBKS),Batsman,3.6,0.3,Retained
R Minz (MI),Batsman,0.0,0.7,Retained
